month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.2,7.0,15.0,-1.0,60.0,1.8,0.5
February,2.48,8.1,16.1,0.1,62.5,1.8,0.53
March,3.0,11.0,19.0,3.0,64.3,2.0,0.85
April,3.6,15.0,23.0,7.0,65.0,2.0,1.25
May,4.0,19.0,27.0,11.0,64.3,2.0,1.58
June,3.6,21.9,29.9,13.9,76.5,2.5,1.6
July,2.88,23.0,31.0,15.0,75.0,2.5,1.41
August,2.72,21.9,29.9,13.9,73.5,2.5,1.3
September,3.28,19.0,27.0,11.0,72.4,2.5,1.34
October,3.8,15.0,23.0,7.0,55.0,2.0,1.32
November,2.6,11.0,19.0,3.0,55.7,2.0,0.72
December,2.0,8.1,16.1,0.1,57.5,2.0,0.5
