month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.64,14.0,22.0,6.0,60.0,1.8,0.88
February,2.98,15.1,23.1,7.1,62.5,1.8,1.05
March,3.6,18.0,26.0,10.0,64.3,2.0,1.4
April,4.32,22.0,30.0,14.0,65.0,2.0,1.84
May,4.8,26.0,34.0,18.0,64.3,2.0,2.2
June,4.32,28.9,36.9,20.9,76.5,2.5,2.19
July,3.46,30.0,38.0,22.0,75.0,2.5,1.95
August,3.26,28.9,36.9,20.9,73.5,2.5,1.83
September,3.94,26.0,34.0,18.0,72.4,2.5,1.91
October,4.56,22.0,30.0,14.0,55.0,2.0,1.92
November,3.12,18.0,26.0,10.0,55.7,2.0,1.24
December,2.4,15.1,23.1,7.1,57.5,2.0,0.85
