month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.15,8.0,16.0,0.0,60.0,1.8,0.5
February,2.42,9.1,17.1,1.1,62.5,1.8,0.56
March,2.92,12.0,20.0,4.0,64.3,2.0,0.87
April,3.51,16.0,24.0,8.0,65.0,2.0,1.27
May,3.9,20.0,28.0,12.0,64.3,2.0,1.6
June,3.51,22.9,30.9,14.9,76.5,2.5,1.62
July,2.81,24.0,32.0,16.0,75.0,2.5,1.44
August,2.65,22.9,30.9,14.9,73.5,2.5,1.33
September,3.2,20.0,28.0,12.0,72.4,2.5,1.37
October,3.7,16.0,24.0,8.0,55.0,2.0,1.33
November,2.54,12.0,20.0,4.0,55.7,2.0,0.75
December,1.95,9.1,17.1,1.1,57.5,2.0,0.5
