month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.25,6.0,14.0,-2.0,60.0,1.8,0.5
February,2.54,7.1,15.1,-0.9,62.5,1.8,0.5
March,3.07,10.0,18.0,2.0,64.3,2.0,0.82
April,3.69,14.0,22.0,6.0,65.0,2.0,1.23
May,4.1,18.0,26.0,10.0,64.3,2.0,1.57
June,3.69,20.9,28.9,12.9,76.5,2.5,1.58
July,2.95,22.0,30.0,14.0,75.0,2.5,1.38
August,2.79,20.9,28.9,12.9,73.5,2.5,1.28
September,3.36,18.0,26.0,10.0,72.4,2.5,1.32
October,3.89,14.0,22.0,6.0,55.0,2.0,1.3
November,2.67,10.0,18.0,2.0,55.7,2.0,0.69
December,2.05,7.1,15.1,-0.9,57.5,2.0,0.5
