month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.7,15.0,23.0,7.0,60.0,1.8,0.95
February,3.04,16.1,24.1,8.1,62.5,1.8,1.12
March,3.68,19.0,27.0,11.0,64.3,2.0,1.48
April,4.41,23.0,31.0,15.0,65.0,2.0,1.92
May,4.9,27.0,35.0,19.0,64.3,2.0,2.28
June,4.41,29.9,37.9,21.9,76.5,2.5,2.27
July,3.53,31.0,39.0,23.0,75.0,2.5,2.03
August,3.33,29.9,37.9,21.9,73.5,2.5,1.91
September,4.02,27.0,35.0,19.0,72.4,2.5,1.99
October,4.66,23.0,31.0,15.0,55.0,2.0,2.0
November,3.19,19.0,27.0,11.0,55.7,2.0,1.31
December,2.45,16.1,24.1,8.1,57.5,2.0,0.92
