month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.37,11.0,19.0,3.0,60.0,1.8,0.64
February,2.67,12.1,20.1,4.1,62.5,1.8,0.79
March,3.22,15.0,23.0,7.0,64.3,2.0,1.12
April,3.87,19.0,27.0,11.0,65.0,2.0,1.54
May,4.3,23.0,31.0,15.0,64.3,2.0,1.88
June,3.87,25.9,33.9,17.9,76.5,2.5,1.89
July,3.1,27.0,35.0,19.0,75.0,2.5,1.68
August,2.92,25.9,33.9,17.9,73.5,2.5,1.57
September,3.53,23.0,31.0,15.0,72.4,2.5,1.63
October,4.08,19.0,27.0,11.0,55.0,2.0,1.61
November,2.79,15.0,23.0,7.0,55.7,2.0,0.98
December,2.15,12.1,20.1,4.1,57.5,2.0,0.62
