month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.75,16.0,24.0,8.0,60.0,1.8,1.02
February,3.1,17.1,25.1,9.1,62.5,1.8,1.19
March,3.75,20.0,28.0,12.0,64.3,2.0,1.55
April,4.5,24.0,32.0,16.0,65.0,2.0,2.0
May,5.0,28.0,36.0,20.0,64.3,2.0,2.37
June,4.5,30.9,38.9,22.9,76.5,2.5,2.35
July,3.6,32.0,40.0,24.0,75.0,2.5,2.1
August,3.4,30.9,38.9,22.9,73.5,2.5,1.98
September,4.1,28.0,36.0,20.0,72.4,2.5,2.07
October,4.75,24.0,32.0,16.0,55.0,2.0,2.08
November,3.25,20.0,28.0,12.0,55.7,2.0,1.38
December,2.5,17.1,25.1,9.1,57.5,2.0,0.99
