month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.75,15.0,23.0,7.0,60.0,1.8,0.97
February,3.1,16.1,24.1,8.1,62.5,1.8,1.14
March,3.75,19.0,27.0,11.0,64.3,2.0,1.5
April,4.5,23.0,31.0,15.0,65.0,2.0,1.95
May,5.0,27.0,35.0,19.0,64.3,2.0,2.32
June,4.5,29.9,37.9,21.9,76.5,2.5,2.3
July,3.6,31.0,39.0,23.0,75.0,2.5,2.05
August,3.4,29.9,37.9,21.9,73.5,2.5,1.93
September,4.1,27.0,35.0,19.0,72.4,2.5,2.02
October,4.75,23.0,31.0,15.0,55.0,2.0,2.03
November,3.25,19.0,27.0,11.0,55.7,2.0,1.33
December,2.5,16.1,24.1,8.1,57.5,2.0,0.94
