month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.31,6.0,14.0,-2.0,60.0,1.8,0.5
February,2.6,7.1,15.1,-0.9,62.5,1.8,0.52
March,3.15,10.0,18.0,2.0,64.3,2.0,0.85
April,3.78,14.0,22.0,6.0,65.0,2.0,1.26
May,4.2,18.0,26.0,10.0,64.3,2.0,1.6
June,3.78,20.9,28.9,12.9,76.5,2.5,1.61
July,3.02,22.0,30.0,14.0,75.0,2.5,1.41
August,2.86,20.9,28.9,12.9,73.5,2.5,1.3
September,3.44,18.0,26.0,10.0,72.4,2.5,1.35
October,3.99,14.0,22.0,6.0,55.0,2.0,1.33
November,2.73,10.0,18.0,2.0,55.7,2.0,0.71
December,2.1,7.1,15.1,-0.9,57.5,2.0,0.5
