month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.48,14.0,22.0,6.0,60.0,1.8,0.82
February,2.79,15.1,23.1,7.1,62.5,1.8,0.98
March,3.38,18.0,26.0,10.0,64.3,2.0,1.32
April,4.05,22.0,30.0,14.0,65.0,2.0,1.75
May,4.5,26.0,34.0,18.0,64.3,2.0,2.1
June,4.05,28.9,36.9,20.9,76.5,2.5,2.1
July,3.24,30.0,38.0,22.0,75.0,2.5,1.88
August,3.06,28.9,36.9,20.9,73.5,2.5,1.77
September,3.69,26.0,34.0,18.0,72.4,2.5,1.83
October,4.27,22.0,30.0,14.0,55.0,2.0,1.82
November,2.93,18.0,26.0,10.0,55.7,2.0,1.18
December,2.25,15.1,23.1,7.1,57.5,2.0,0.8
