month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.59,14.0,22.0,6.0,60.0,1.8,0.86
February,2.91,15.1,23.1,7.1,62.5,1.8,1.02
March,3.53,18.0,26.0,10.0,64.3,2.0,1.38
April,4.23,22.0,30.0,14.0,65.0,2.0,1.81
May,4.7,26.0,34.0,18.0,64.3,2.0,2.17
June,4.23,28.9,36.9,20.9,76.5,2.5,2.16
July,3.38,30.0,38.0,22.0,75.0,2.5,1.93
August,3.2,28.9,36.9,20.9,73.5,2.5,1.81
September,3.85,26.0,34.0,18.0,72.4,2.5,1.88
October,4.46,22.0,30.0,14.0,55.0,2.0,1.89
November,3.06,18.0,26.0,10.0,55.7,2.0,1.22
December,2.35,15.1,23.1,7.1,57.5,2.0,0.84
