month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.86,18.0,26.0,10.0,60.0,1.8,1.15
February,3.22,19.1,27.1,11.1,62.5,1.8,1.33
March,3.9,22.0,30.0,14.0,64.3,2.0,1.7
April,4.68,26.0,34.0,18.0,65.0,2.0,2.16
May,5.2,30.0,38.0,22.0,64.3,2.0,2.53
June,4.68,32.9,40.9,24.9,76.5,2.5,2.51
July,3.74,34.0,42.0,26.0,75.0,2.5,2.25
August,3.54,32.9,40.9,24.9,73.5,2.5,2.13
September,4.26,30.0,38.0,22.0,72.4,2.5,2.22
October,4.94,26.0,34.0,18.0,55.0,2.0,2.25
November,3.38,22.0,30.0,14.0,55.7,2.0,1.53
December,2.6,19.1,27.1,11.1,57.5,2.0,1.12
