month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.92,17.0,25.0,9.0,60.0,1.8,1.12
February,3.29,18.1,26.1,10.1,62.5,1.8,1.3
March,3.97,21.0,29.0,13.0,64.3,2.0,1.68
April,4.77,25.0,33.0,17.0,65.0,2.0,2.14
May,5.3,29.0,37.0,21.0,64.3,2.0,2.52
June,4.77,31.9,39.9,23.9,76.5,2.5,2.49
July,3.82,33.0,41.0,25.0,75.0,2.5,2.22
August,3.6,31.9,39.9,23.9,73.5,2.5,2.1
September,4.35,29.0,37.0,21.0,72.4,2.5,2.2
October,5.03,25.0,33.0,17.0,55.0,2.0,2.23
November,3.44,21.0,29.0,13.0,55.7,2.0,1.5
December,2.65,18.1,26.1,10.1,57.5,2.0,1.09
