month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.09,6.0,14.0,-2.0,60.0,1.8,0.5
February,2.36,7.1,15.1,-0.9,62.5,1.8,0.5
March,2.85,10.0,18.0,2.0,64.3,2.0,0.75
April,3.42,14.0,22.0,6.0,65.0,2.0,1.14
May,3.8,18.0,26.0,10.0,64.3,2.0,1.47
June,3.42,20.9,28.9,12.9,76.5,2.5,1.49
July,2.74,22.0,30.0,14.0,75.0,2.5,1.31
August,2.58,20.9,28.9,12.9,73.5,2.5,1.21
September,3.12,18.0,26.0,10.0,72.4,2.5,1.24
October,3.61,14.0,22.0,6.0,55.0,2.0,1.2
November,2.47,10.0,18.0,2.0,55.7,2.0,0.62
December,1.9,7.1,15.1,-0.9,57.5,2.0,0.5
