month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.25,5.0,13.0,-3.0,60.0,1.8,0.5
February,2.54,6.1,14.1,-1.9,62.5,1.8,0.5
March,3.07,9.0,17.0,1.0,64.3,2.0,0.77
April,3.69,13.0,21.0,5.0,65.0,2.0,1.18
May,4.1,17.0,25.0,9.0,64.3,2.0,1.52
June,3.69,19.9,27.9,11.9,76.5,2.5,1.53
July,2.95,21.0,29.0,13.0,75.0,2.5,1.33
August,2.79,19.9,27.9,11.9,73.5,2.5,1.23
September,3.36,17.0,25.0,9.0,72.4,2.5,1.27
October,3.89,13.0,21.0,5.0,55.0,2.0,1.25
November,2.67,9.0,17.0,1.0,55.7,2.0,0.64
December,2.05,6.1,14.1,-1.9,57.5,2.0,0.5
