month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.75,18.0,26.0,10.0,60.0,1.8,1.12
February,3.1,19.1,27.1,11.1,62.5,1.8,1.29
March,3.75,22.0,30.0,14.0,64.3,2.0,1.65
April,4.5,26.0,34.0,18.0,65.0,2.0,2.1
May,5.0,30.0,38.0,22.0,64.3,2.0,2.47
June,4.5,32.9,40.9,24.9,76.5,2.5,2.45
July,3.6,34.0,42.0,26.0,75.0,2.5,2.2
August,3.4,32.9,40.9,24.9,73.5,2.5,2.08
September,4.1,30.0,38.0,22.0,72.4,2.5,2.17
October,4.75,26.0,34.0,18.0,55.0,2.0,2.18
November,3.25,22.0,30.0,14.0,55.7,2.0,1.48
December,2.5,19.1,27.1,11.1,57.5,2.0,1.09
