month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.86,16.0,24.0,8.0,60.0,1.8,1.05
February,3.22,17.1,25.1,9.1,62.5,1.8,1.23
March,3.9,20.0,28.0,12.0,64.3,2.0,1.6
April,4.68,24.0,32.0,16.0,65.0,2.0,2.06
May,5.2,28.0,36.0,20.0,64.3,2.0,2.43
June,4.68,30.9,38.9,22.9,76.5,2.5,2.41
July,3.74,32.0,40.0,24.0,75.0,2.5,2.15
August,3.54,30.9,38.9,22.9,73.5,2.5,2.03
September,4.26,28.0,36.0,20.0,72.4,2.5,2.12
October,4.94,24.0,32.0,16.0,55.0,2.0,2.15
November,3.38,20.0,28.0,12.0,55.7,2.0,1.43
December,2.6,17.1,25.1,9.1,57.5,2.0,1.02
