month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.15,7.0,15.0,-1.0,60.0,1.8,0.5
February,2.42,8.1,16.1,0.1,62.5,1.8,0.51
March,2.92,11.0,19.0,3.0,64.3,2.0,0.82
April,3.51,15.0,23.0,7.0,65.0,2.0,1.22
May,3.9,19.0,27.0,11.0,64.3,2.0,1.55
June,3.51,21.9,29.9,13.9,76.5,2.5,1.57
July,2.81,23.0,31.0,15.0,75.0,2.5,1.39
August,2.65,21.9,29.9,13.9,73.5,2.5,1.28
September,3.2,19.0,27.0,11.0,72.4,2.5,1.32
October,3.7,15.0,23.0,7.0,55.0,2.0,1.28
November,2.54,11.0,19.0,3.0,55.7,2.0,0.7
December,1.95,8.1,16.1,0.1,57.5,2.0,0.5
