month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.53,13.0,21.0,5.0,60.0,1.8,0.79
February,2.85,14.1,22.1,6.1,62.5,1.8,0.95
March,3.45,17.0,25.0,9.0,64.3,2.0,1.3
April,4.14,21.0,29.0,13.0,65.0,2.0,1.73
May,4.6,25.0,33.0,17.0,64.3,2.0,2.08
June,4.14,27.9,35.9,19.9,76.5,2.5,2.08
July,3.31,29.0,37.0,21.0,75.0,2.5,1.85
August,3.13,27.9,35.9,19.9,73.5,2.5,1.74
September,3.77,25.0,33.0,17.0,72.4,2.5,1.81
October,4.37,21.0,29.0,13.0,55.0,2.0,1.81
November,2.99,17.0,25.0,9.0,55.7,2.0,1.15
December,2.3,14.1,22.1,6.1,57.5,2.0,0.77
