month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,3.03,18.0,26.0,10.0,60.0,1.8,1.21
February,3.41,19.1,27.1,11.1,62.5,1.8,1.39
March,4.12,22.0,30.0,14.0,64.3,2.0,1.78
April,4.95,26.0,34.0,18.0,65.0,2.0,2.25
May,5.5,30.0,38.0,22.0,64.3,2.0,2.63
June,4.95,32.9,40.9,24.9,76.5,2.5,2.6
July,3.96,34.0,42.0,26.0,75.0,2.5,2.32
August,3.74,32.9,40.9,24.9,73.5,2.5,2.19
September,4.51,30.0,38.0,22.0,72.4,2.5,2.3
October,5.22,26.0,34.0,18.0,55.0,2.0,2.34
November,3.58,22.0,30.0,14.0,55.7,2.0,1.59
December,2.75,19.1,27.1,11.1,57.5,2.0,1.17
