month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,3.08,18.0,26.0,10.0,60.0,1.8,1.23
February,3.47,19.1,27.1,11.1,62.5,1.8,1.41
March,4.2,22.0,30.0,14.0,64.3,2.0,1.8
April,5.04,26.0,34.0,18.0,65.0,2.0,2.28
May,5.6,30.0,38.0,22.0,64.3,2.0,2.67
June,5.04,32.9,40.9,24.9,76.5,2.5,2.63
July,4.03,34.0,42.0,26.0,75.0,2.5,2.34
August,3.81,32.9,40.9,24.9,73.5,2.5,2.22
September,4.59,30.0,38.0,22.0,72.4,2.5,2.33
October,5.32,26.0,34.0,18.0,55.0,2.0,2.37
November,3.64,22.0,30.0,14.0,55.7,2.0,1.61
December,2.8,19.1,27.1,11.1,57.5,2.0,1.19
