month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.64,13.0,21.0,5.0,60.0,1.8,0.83
February,2.98,14.1,22.1,6.1,62.5,1.8,1.0
March,3.6,17.0,25.0,9.0,64.3,2.0,1.35
April,4.32,21.0,29.0,13.0,65.0,2.0,1.79
May,4.8,25.0,33.0,17.0,64.3,2.0,2.15
June,4.32,27.9,35.9,19.9,76.5,2.5,2.14
July,3.46,29.0,37.0,21.0,75.0,2.5,1.9
August,3.26,27.9,35.9,19.9,73.5,2.5,1.78
September,3.94,25.0,33.0,17.0,72.4,2.5,1.86
October,4.56,21.0,29.0,13.0,55.0,2.0,1.87
November,3.12,17.0,25.0,9.0,55.7,2.0,1.19
December,2.4,14.1,22.1,6.1,57.5,2.0,0.8
