month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.7,12.0,20.0,4.0,60.0,1.8,0.8
February,3.04,13.1,21.1,5.1,62.5,1.8,0.97
March,3.68,16.0,24.0,8.0,64.3,2.0,1.33
April,4.41,20.0,28.0,12.0,65.0,2.0,1.77
May,4.9,24.0,32.0,16.0,64.3,2.0,2.13
June,4.41,26.9,34.9,18.9,76.5,2.5,2.12
July,3.53,28.0,36.0,20.0,75.0,2.5,1.88
August,3.33,26.9,34.9,18.9,73.5,2.5,1.76
September,4.02,24.0,32.0,16.0,72.4,2.5,1.84
October,4.66,20.0,28.0,12.0,55.0,2.0,1.85
November,3.19,16.0,24.0,8.0,55.7,2.0,1.16
December,2.45,13.1,21.1,5.1,57.5,2.0,0.77
