month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.31,5.0,13.0,-3.0,60.0,1.8,0.5
February,2.6,6.1,14.1,-1.9,62.5,1.8,0.5
March,3.15,9.0,17.0,1.0,64.3,2.0,0.8
April,3.78,13.0,21.0,5.0,65.0,2.0,1.21
May,4.2,17.0,25.0,9.0,64.3,2.0,1.55
June,3.78,19.9,27.9,11.9,76.5,2.5,1.56
July,3.02,21.0,29.0,13.0,75.0,2.5,1.36
August,2.86,19.9,27.9,11.9,73.5,2.5,1.25
September,3.44,17.0,25.0,9.0,72.4,2.5,1.3
October,3.99,13.0,21.0,5.0,55.0,2.0,1.28
November,2.73,9.0,17.0,1.0,55.7,2.0,0.66
December,2.1,6.1,14.1,-1.9,57.5,2.0,0.5
