month,solar_irradiance_kwh_m2_day,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,wind_speed_m_s,evaporation_mm_day
January,2.92,18.0,26.0,10.0,60.0,1.8,1.17
February,3.29,19.1,27.1,11.1,62.5,1.8,1.35
March,3.97,22.0,30.0,14.0,64.3,2.0,1.73
April,4.77,26.0,34.0,18.0,65.0,2.0,2.19
May,5.3,30.0,38.0,22.0,64.3,2.0,2.57
June,4.77,32.9,40.9,24.9,76.5,2.5,2.54
July,3.82,34.0,42.0,26.0,75.0,2.5,2.27
August,3.6,32.9,40.9,24.9,73.5,2.5,2.15
September,4.35,30.0,38.0,22.0,72.4,2.5,2.25
October,5.03,26.0,34.0,18.0,55.0,2.0,2.28
November,3.44,22.0,30.0,14.0,55.7,2.0,1.55
December,2.65,19.1,27.1,11.1,57.5,2.0,1.14
